URL,detected language,html lang,title language,H1 language,hidden alternate-language content found,canonical,hreflang set,status,action
https://camelotflows.dev/,en,en,en,en,no,https://camelotflows.dev/,en=https://camelotflows.dev/ | ro=https://camelotflows.dev/ro/ | ru=https://camelotflows.dev/ru/ | x-default=https://camelotflows.dev/,PASS,
https://camelotflows.dev/ro/,ro,ro,ro,ro,no,https://camelotflows.dev/ro/,en=https://camelotflows.dev/ | ro=https://camelotflows.dev/ro/ | ru=https://camelotflows.dev/ru/ | x-default=https://camelotflows.dev/,PASS,
https://camelotflows.dev/ru/,ru,ru,ru,ru,no,https://camelotflows.dev/ru/,en=https://camelotflows.dev/ | ro=https://camelotflows.dev/ro/ | ru=https://camelotflows.dev/ru/ | x-default=https://camelotflows.dev/,PASS,
https://camelotflows.dev/about,en,en,en,en,no,https://camelotflows.dev/about,en=https://camelotflows.dev/about | ro=https://camelotflows.dev/ro/about | ru=https://camelotflows.dev/ru/about | x-default=https://camelotflows.dev/about,PASS,
https://camelotflows.dev/ro/about,ro,ro,ro,ro,no,https://camelotflows.dev/ro/about,en=https://camelotflows.dev/about | ro=https://camelotflows.dev/ro/about | ru=https://camelotflows.dev/ru/about | x-default=https://camelotflows.dev/about,PASS,
https://camelotflows.dev/ru/about,ru,ru,ru,ru,no,https://camelotflows.dev/ru/about,en=https://camelotflows.dev/about | ro=https://camelotflows.dev/ro/about | ru=https://camelotflows.dev/ru/about | x-default=https://camelotflows.dev/about,PASS,
https://camelotflows.dev/arsenal,en,en,en,en,no,https://camelotflows.dev/arsenal,en=https://camelotflows.dev/arsenal | ro=https://camelotflows.dev/ro/arsenal | ru=https://camelotflows.dev/ru/arsenal | x-default=https://camelotflows.dev/arsenal,PASS,
https://camelotflows.dev/ro/arsenal,ro,ro,ro,ro,no,https://camelotflows.dev/ro/arsenal,en=https://camelotflows.dev/arsenal | ro=https://camelotflows.dev/ro/arsenal | ru=https://camelotflows.dev/ru/arsenal | x-default=https://camelotflows.dev/arsenal,PASS,
https://camelotflows.dev/ru/arsenal,ru,ru,ru,ru,no,https://camelotflows.dev/ru/arsenal,en=https://camelotflows.dev/arsenal | ro=https://camelotflows.dev/ro/arsenal | ru=https://camelotflows.dev/ru/arsenal | x-default=https://camelotflows.dev/arsenal,PASS,
https://camelotflows.dev/audit,en,en,en,en,no,https://camelotflows.dev/audit,en=https://camelotflows.dev/audit | ro=https://camelotflows.dev/ro/audit | ru=https://camelotflows.dev/ru/audit | x-default=https://camelotflows.dev/audit,PASS,
https://camelotflows.dev/ro/audit,ro,ro,ro,ro,no,https://camelotflows.dev/ro/audit,en=https://camelotflows.dev/audit | ro=https://camelotflows.dev/ro/audit | ru=https://camelotflows.dev/ru/audit | x-default=https://camelotflows.dev/audit,PASS,
https://camelotflows.dev/ru/audit,ru,ru,ru,ru,no,https://camelotflows.dev/ru/audit,en=https://camelotflows.dev/audit | ro=https://camelotflows.dev/ro/audit | ru=https://camelotflows.dev/ru/audit | x-default=https://camelotflows.dev/audit,PASS,
https://camelotflows.dev/blog/,en,en,en,en,no,https://camelotflows.dev/blog/,en=https://camelotflows.dev/blog/ | ro=https://camelotflows.dev/ro/blog/ | ru=https://camelotflows.dev/ru/blog/ | x-default=https://camelotflows.dev/blog/,PASS,
https://camelotflows.dev/ro/blog/,ro,ro,ro,ro,no,https://camelotflows.dev/ro/blog/,en=https://camelotflows.dev/blog/ | ro=https://camelotflows.dev/ro/blog/ | ru=https://camelotflows.dev/ru/blog/ | x-default=https://camelotflows.dev/blog/,PASS,
https://camelotflows.dev/ru/blog/,ru,ru,ru,ru,no,https://camelotflows.dev/ru/blog/,en=https://camelotflows.dev/blog/ | ro=https://camelotflows.dev/ro/blog/ | ru=https://camelotflows.dev/ru/blog/ | x-default=https://camelotflows.dev/blog/,PASS,
