current URL,HTTP status,indexability,canonical,language,title,H1,main topic,internal links,external backlinks if discoverable,old equivalent URL,proposed action,target URL,redirect type,reason,quality category,recommended action,visible main-content words,content fingerprint
https://camelotflows.dev/,200,indexable,https://camelotflows.dev/,en,"Web Development, WooCommerce & AI Automation | Camelot Flows",A site as good as your reputation.,AI-assisted sales and operations systems for technical B2B companies,incoming 98; outgoing 54,Not discoverable from public crawl; verify with Search Console/backlink export,,REWRITE IN PLACE,https://camelotflows.dev/,none,Core commercial route in the focused EN/RO/RU architecture.,CORE COMMERCIAL,,110,27500d8cafc15f13
https://camelotflows.dev/about,200,indexable,https://camelotflows.dev/about,en,About Alexandru Buzi — Solo Web Atelier | Camelot Flows,"An Avalon for makers, run from Moldova while my son Arthur naps.",Alexandru Buzi and the solo-specialist operating model,incoming 62; outgoing 44,Not discoverable from public crawl; verify with Search Console/backlink export,,REWRITE IN PLACE,https://camelotflows.dev/about,none,Core commercial route in the focused EN/RO/RU architecture.,CORE COMMERCIAL,,694,6ee4de900cf4419b
https://camelotflows.dev/arsenal,200,indexable,https://camelotflows.dev/arsenal,en,"Tools & Stack — WordPress, GSAP & n8n Automation | Camelot Flows",The Arsenal,Supporting tools and technology stack,incoming 122; outgoing 43,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP BUT REMOVE FROM PRIMARY NAVIGATION,https://camelotflows.dev/arsenal,none,Preserve the existing intent and search signals as a secondary or footer route.,LEGACY WITH ACTIVE VALUE,,339,0ea9e970bb60cfd5
https://camelotflows.dev/audit,200,indexable,https://camelotflows.dev/audit,en,Free Website Audit — Find What's Losing You Customers | Camelot Flows,Is your website quietly losing you customers?,Website audit lead tool,incoming 39; outgoing 42,Not discoverable from public crawl; verify with Search Console/backlink export,,KEEP BUT REMOVE FROM PRIMARY NAVIGATION,https://camelotflows.dev/audit,none,Preserve the existing intent and search signals as a secondary or footer route.,SUPPORTING SERVICE,,638,93a137e2c7864d31
https://camelotflows.dev/blog/,200,indexable,https://camelotflows.dev/blog/,en,The Codex — Build Notes & AI Dispatches | Camelot Flows,Dispatches from the Workshop.,Article: The Codex — Build Notes & AI Dispatches,incoming 53; outgoing 71,Not discoverable from public crawl; verify with Search Console/backlink export,https://blog.camelotflows.dev/,KEEP,https://camelotflows.dev/blog/,none,Preserve the article URL and accumulated search signals.,TECHNICAL OR UTILITY,,574,22985c3c20c32e5d
https://camelotflows.dev/blog/ai-intake-assistant-small-service-business/,200,indexable,https://camelotflows.dev/blog/ai-intake-assistant-small-service-business/,en,What an AI Intake Assistant Actually Does for a Small Service Business | Camelot Flows,What an AI Intake Assistant Actually Does for a Small Service Business,Article: What an AI Intake Assistant Actually Does for a Small Service Business,incoming 14; outgoing 42,Not discoverable from public crawl; verify with Search Console/backlink export,https://blog.camelotflows.dev/ai-intake-assistant-small-service-business/,KEEP,https://camelotflows.dev/blog/ai-intake-assistant-small-service-business/,none,Preserve the article URL and accumulated search signals.,TOPICAL ARTICLE,,774,ffca80e533f76b27
https://camelotflows.dev/blog/automate-import-back-office-before-hiring/,200,indexable,https://camelotflows.dev/blog/automate-import-back-office-before-hiring/,en,The Import Back-Office Tax: 5 Jobs to Automate Before You Hire - Camelot Flows,The Import Back-Office Tax: 5 Jobs to Automate Before You Hire,Article: The Import Back-Office Tax: 5 Jobs to Automate Before You Hire,incoming 8; outgoing 46,Not discoverable from public crawl; verify with Search Console/backlink export,https://blog.camelotflows.dev/automate-import-back-office-before-hiring/,KEEP,https://camelotflows.dev/blog/automate-import-back-office-before-hiring/,none,Preserve the article URL and accumulated search signals.,TOPICAL ARTICLE,,561,29b268a21f1dec68
https://camelotflows.dev/blog/building-dreamscape-in-parallel/,200,indexable,https://camelotflows.dev/blog/building-dreamscape-in-parallel/,en,Building Dreamscape in Parallel: How Game Dev Is Sharpening My Skills - Camelot Flows,Building Dreamscape in Parallel: How Game Dev Is Sharpening My Skills,Founder notes and game-development learning,incoming 8; outgoing 45,Not discoverable from public crawl; verify with Search Console/backlink export,https://blog.camelotflows.dev/building-dreamscape-in-parallel/,KEEP,https://camelotflows.dev/blog/building-dreamscape-in-parallel/,none,Preserve search signals; classify as Founder Notes and keep secondary.,FOUNDER NOTE,,488,1287239460fbcd79
https://camelotflows.dev/blog/do-i-own-my-website-checklist/,200,indexable,https://camelotflows.dev/blog/do-i-own-my-website-checklist/,en,Do You Actually Own Your Website? A 5-Minute Check - Camelot Flows,Do You Actually Own Your Website? A 5-Minute Check,Article: Do You Actually Own Your Website? A 5-Minute Check,incoming 7; outgoing 48,Not discoverable from public crawl; verify with Search Console/backlink export,https://blog.camelotflows.dev/do-i-own-my-website-checklist/,KEEP,https://camelotflows.dev/blog/do-i-own-my-website-checklist/,none,Preserve the article URL and accumulated search signals.,TOPICAL ARTICLE,,919,fdb2506eb3dfc1b1
https://camelotflows.dev/blog/how-chatgpt-decides-which-local-businesses-to-recommend/,200,indexable,https://camelotflows.dev/blog/how-chatgpt-decides-which-local-businesses-to-recommend/,en,How ChatGPT Decides Which Local Businesses to Recommend - Camelot Flows,How ChatGPT Decides Which Local Businesses to Recommend,Article: How ChatGPT Decides Which Local Businesses to Recommend,incoming 8; outgoing 48,Not discoverable from public crawl; verify with Search Console/backlink export,https://blog.camelotflows.dev/how-chatgpt-decides-which-local-businesses-to-recommend/,KEEP,https://camelotflows.dev/blog/how-chatgpt-decides-which-local-businesses-to-recommend/,none,Preserve the article URL and accumulated search signals.,TOPICAL ARTICLE,,1008,c6d699a4cde44b4d
https://camelotflows.dev/blog/how-i-build-sites-for-clients/,200,indexable,https://camelotflows.dev/blog/how-i-build-sites-for-clients/,en,"How I Build Sites for Clients: Simple WordPress, Custom Builds, and AI Automations - Camelot Flows","How I Build Sites for Clients: Simple WordPress, Custom Builds, and AI Automations","Article: How I Build Sites for Clients: Simple WordPress, Custom Builds, and AI Automations",incoming 10; outgoing 46,Not discoverable from public crawl; verify with Search Console/backlink export,https://blog.camelotflows.dev/how-i-build-sites-for-clients/,KEEP,https://camelotflows.dev/blog/how-i-build-sites-for-clients/,none,Preserve the article URL and accumulated search signals.,TOPICAL ARTICLE,,499,377bde0fd985eeb2
https://camelotflows.dev/blog/how-i-build-websites-for-e390-the-starter-page-breakdown/,200,indexable,https://camelotflows.dev/blog/how-i-build-websites-for-e390-the-starter-page-breakdown/,en,"What You Get for €390: Landing Page or Portfolio Site, Both With AI - Camelot Flows","What You Get for €390: Landing Page or Portfolio Site, Both With AI","Article: What You Get for €390: Landing Page or Portfolio Site, Both With AI",incoming 10; outgoing 46,Not discoverable from public crawl; verify with Search Console/backlink export,https://blog.camelotflows.dev/how-i-build-websites-for-e390-the-starter-page-breakdown/,KEEP,https://camelotflows.dev/blog/how-i-build-websites-for-e390-the-starter-page-breakdown/,none,Preserve the article URL and accumulated search signals.,TOPICAL ARTICLE,,590,34b6f784285bc845
https://camelotflows.dev/blog/how-to-leave-your-web-agency-without-losing-your-website/,200,indexable,https://camelotflows.dev/blog/how-to-leave-your-web-agency-without-losing-your-website/,en,How to Leave Your Web Agency Without Losing Your Site - Camelot Flows,How to Leave Your Web Agency Without Losing Your Site,Article: How to Leave Your Web Agency Without Losing Your Site,incoming 8; outgoing 48,Not discoverable from public crawl; verify with Search Console/backlink export,https://blog.camelotflows.dev/how-to-leave-your-web-agency-without-losing-your-website/,KEEP,https://camelotflows.dev/blog/how-to-leave-your-web-agency-without-losing-your-website/,none,Preserve the article URL and accumulated search signals.,TOPICAL ARTICLE,,1023,1292ccfb86d7fbbe
https://camelotflows.dev/blog/why-is-my-new-website-not-showing-up-on-google/,200,indexable,https://camelotflows.dev/blog/why-is-my-new-website-not-showing-up-on-google/,en,Why Is My New Website Not Showing Up on Google? - Camelot Flows,Why Is My New Website Not Showing Up on Google?,Article: Why Is My New Website Not Showing Up on Google?,incoming 7; outgoing 48,Not discoverable from public crawl; verify with Search Console/backlink export,https://blog.camelotflows.dev/why-is-my-new-website-not-showing-up-on-google/,KEEP,https://camelotflows.dev/blog/why-is-my-new-website-not-showing-up-on-google/,none,Preserve the article URL and accumulated search signals.,TOPICAL ARTICLE,,960,465532ad2ee5e750
https://camelotflows.dev/blog/why-wordpress-slow-on-mobile/,200,indexable,https://camelotflows.dev/blog/why-wordpress-slow-on-mobile/,en,Why Your WordPress Site Feels Slow on Your Phone - Camelot Flows,Why Your WordPress Site Feels Slow on Your Phone,Article: Why Your WordPress Site Feels Slow on Your Phone,incoming 7; outgoing 48,Not discoverable from public crawl; verify with Search Console/backlink export,https://blog.camelotflows.dev/why-wordpress-slow-on-mobile/,KEEP,https://camelotflows.dev/blog/why-wordpress-slow-on-mobile/,none,Preserve the article URL and accumulated search signals.,TOPICAL ARTICLE,,1047,37405f6e1d6cf5b9
https://camelotflows.dev/case-studies,200,indexable,https://camelotflows.dev/case-studies,en,Client Case Studies — WordPress & AI Automation | Camelot Flows,Work I take. Results I deliver.,Verified client work and fictional workflow demonstrations,incoming 128; outgoing 42,Not discoverable from public crawl; verify with Search Console/backlink export,,REWRITE IN PLACE,https://camelotflows.dev/case-studies,none,Core commercial route in the focused EN/RO/RU architecture.,CASE STUDY,,343,97c81f29eb125748
